genre_ids,id,original_language,original_title,popularity,release_date,title,vote_average,vote_count,genre_name
28,9543,en,Prince of Persia: The Sands of Time,13.44,2010-05-27,Prince of Persia: The Sands of Time,6.2,4040,Action
10749,9543,en,Prince of Persia: The Sands of Time,13.44,2010-05-27,Prince of Persia: The Sands of Time,6.2,4040,Romance
35,9994,en,The Great Mouse Detective,13.348,1986-07-02,The Great Mouse Detective,7.1,769,Comedy
16,9994,en,The Great Mouse Detective,13.348,1986-07-02,The Great Mouse Detective,7.1,769,Animation
10751,9994,en,The Great Mouse Detective,13.348,1986-07-02,The Great Mouse Detective,7.1,769,Family
14,7980,en,The Lovely Bones,13.285,2010-01-15,The Lovely Bones,6.8,2226,Fantasy
18,7980,en,The Lovely Bones,13.285,2010-01-15,The Lovely Bones,6.8,2226,Drama
18,705,en,All About Eve,13.163,2000-10-06,All About Eve,8.2,685,Drama
18,44264,en,True Grit,13.118,2010-12-22,True Grit,7.2,2816,Drama
12,44264,en,True Grit,13.118,2010-12-22,True Grit,7.2,2816,Adventure
37,44264,en,True Grit,13.118,2010-12-22,True Grit,7.2,2816,Western
53,43947,en,I Spit on Your Grave,13.102,2010-10-08,I Spit on Your Grave,6.3,977,Thriller
80,43947,en,I Spit on Your Grave,13.102,2010-10-08,I Spit on Your Grave,6.3,977,Crime
27,43947,en,I Spit on Your Grave,13.102,2010-10-08,I Spit on Your Grave,6.3,977,Horror
28,23483,en,Kick-Ass,13.08,2010-04-16,Kick-Ass,7.1,7540,Action
80,23483,en,Kick-Ass,13.08,2010-04-16,Kick-Ass,7.1,7540,Crime
35,51888,en,Robot Chicken: Star Wars Episode III,13.062,2010-12-19,Robot Chicken: Star Wars Episode III,7.5,60,Comedy
878,51888,en,Robot Chicken: Star Wars Episode III,13.062,2010-12-19,Robot Chicken: Star Wars Episode III,7.5,60,Science Fiction
16,51888,en,Robot Chicken: Star Wars Episode III,13.062,2010-12-19,Robot Chicken: Star Wars Episode III,7.5,60,Animation
28,27576,en,Salt,13.025,2010-07-23,Salt,6.3,3240,Action
9648,27576,en,Salt,13.025,2010-07-23,Salt,6.3,3240,Mystery
53,27576,en,Salt,13.025,2010-07-23,Salt,6.3,3240,Thriller
10770,47626,en,Legend of the BoneKnapper Dragon,13.013,2010-10-15,Legend of the BoneKnapper Dragon,6.4,116,TV Movie
16,47626,en,Legend of the BoneKnapper Dragon,13.013,2010-10-15,Legend of the BoneKnapper Dragon,6.4,116,Animation
14,47626,en,Legend of the BoneKnapper Dragon,13.013,2010-10-15,Legend of the BoneKnapper Dragon,6.4,116,Fantasy
